ad_link,title,price,description,mileage,location,dealer
https://www.autotrader.ca/a/lexus/rz/brossard/quebec/5_63858921_ct200441411528645/,"2023 Lexus RZ RZ 450e AWD, Cuir, AWD, Apple Carplay WOW!!!!!","$47,975","Le Lexus RZ 450E 2023 est un véhicule électrique qui allie performance, confort et technologie avancée. Conu pour répondre aux besoins des conducteurs canadiens, il propose une expérience de conduite unique tout en respectant l'environnement. L'un des principaux avantages du ...","33,946 km",Brossard,Brossard Hyundai
https://www.autotrader.ca/a/tesla/model%203/richmond%20hill/ontario/5_63718149_20181206204751508/,2018 Tesla Model 3 Long Range Battery/ONE OWNER/NO ACCIDENT/CLEAN CAR,"$30,500","ONE OWNER / CLEAN CARFAX / NO ACCIDENT / SHOWROOM CONDITION /

LONG RANGE / Only 62,850 Kilometres!

Watch on YouTube for more details.: **********

Dealer Certified Pre-Owned. This Tesla Model 3 boasts an electric engine that powers this automatic transmission. Window Grid A...","62,850 km",Richmond Hill,PLANET MOTORS INC.
https://www.autotrader.ca/a/volkswagen/id.4/london/ontario/5_63626987_on20070704162559510/,2024 Volkswagen ID.4 PRO S,"$64,695",,,London,LEAVENS VOLKSWAGEN INC.
https://www.autotrader.ca/a/audi/sq6%20e-tron/thornhill/ontario/5_63624060_20200727174341421/,2025 Audi SQ6 e-tron Technik INCOMING | TECHNIK | EDITION ONE,"$108,008",,,Thornhill,Audi Thornhill
https://www.autotrader.ca/a/audi/e-tron%20sportback/saint-laurent/quebec/5_63953371_ct2004415104427346/,2021 Audi e-tron Sportback Technik quattro,"$49,995","Navigation + Camera+entre sans cle + Carplay .Audi St-Laurent, nos experts seront à votre écoute et vous guideront vers le véhicule qui correspond à vos besoins.Ouvert le samedi, ouvert 7 Jours 24h / 24 en ligne  ADMISSIBLE AU PROGRAMME AUDI CERTIFIED PLUS (CP0) GARANTIE JUSQU...","23,391 km",Saint-Laurent,Audi St-Laurent
https://www.autotrader.ca/a/ford/f-150%20lightning/surrey/british%20columbia/5_63942164_20170605130000785/,2023 Ford F-150 Lightning,"$72,999","Shown in Star White Metallic Tri-Coat, this 2023 Ford F-150 Lightning comes with power heated/ventilated front seats, a/c with dual zone climate control, cruise control, BLIS with cross traffic, FORDPASS CONNECT, SYNC 4A, TWIN MOONROOF, power adjustable pedals with memory, rea...","11,460 km",Surrey,Dams Ford Lincoln
https://www.autotrader.ca/a/rivian/r1t/hope/british%20columbia/5_63069609_20230912154506098/,2024 Rivian R1T,"$109,000","DUAL MAX, PERFORMANCE UPGRADE, FOREST GREEN PAINT UPGRADE, ALL TERRAIN PACKAGE, MANUAL TONNEAU COVER, OVER 20K IN UPGRADES, 20 Wheels, Adaptive suspension, Auto High-beam Headlights, Auto tilt-away steering wheel, Auto-dimming Rear-View mirror, Automatic headlights, Delay-off ...","3,975 km",Kelowna,Company of Cars - Virtual Showroom in Hope
https://www.autotrader.ca/a/rivian/r1s/prince%20george/british%20columbia/5_63940786_20230822175502947/,2025 Rivian R1S Adventure Dual-Motor Standard Pack - No PST!,"$128,995",CarFax report and Safety inspection available for review. Large used car inventory! Open 7 days a week! IN HOUSE FINANCING available. Close to 100% approval rate. We accept all local and out of town trade-ins.    For additional vehicle information or to schedule your appointme...,71 km,Port Coquitlam,TriCity Mitsubishi - Virtual 8
https://www.autotrader.ca/a/nissan/ariya/blainville/quebec/5_63935327_20190607174605985/,2023 Nissan Ariya ENGAGE / BANC CHAUFFANT / VOLANT CHAUFFANT / PRO P,"$35,998","CERTIFIÉ BAS KILOMÉTRAGE, Caméra de recul, Système de navigation, Bluetooth, Sièges Chauffants Restez a la maison - ACHAT 100% EN LIGNE grace a HGregoire Nissan. Vous trouverez le VEHICULE dont vous revez a un PRIX COMPÉTITIF. Nos offres exclusives sont disponibles a des taux ...","6,373 km",Blainville,HGrégoire Nissan Blainville
https://www.autotrader.ca/a/nissan/ariya/chilliwack/british%20columbia/5_63934114_20200428202652023/,2024 Nissan Ariya EVOLVE+ PLATINUM PKG | NO PST |,"$49,899","Introducing the stunning white 2024 Nissan Ariya Evolve+ AWD, a remarkable electric vehicle that merges cutting-edge technology with stylish design and impressive performance. With less than 5,000 kilometers on the odometer, this Ariya is practically brand new, offering you...","4,658 km",Chilliwack,Bannister Nissan Of Chilliwack
